station_id,lat,lon,cluster_id
1,19.416795,-99.192508,24
5,19.36726591257277,-99.15865559132271,20
6,19.363404,-99.160395,20
8,19.359583,-99.162085,20
9,19.367816,-99.175269,8
10,19.36473,-99.174447,8
11,19.37099,-99.176135,8
12,19.373447,-99.184465,8
14,19.424784,-99.172119,5
15,19.433766,-99.130918,14
16,19.370565558464016,-99.15662247688942,6
17,19.376793,-99.158847,1
18,19.372474,-99.171639,8
19,19.384849,-99.16704,1
20,19.368107,-99.164376,20
21,19.375543381100602,-99.17801052342838,8
22,19.385494,-99.183744,18
23,19.372469,-99.164538,1
24,19.375397,-99.163778,1
25,19.379435,-99.162794,1
26,19.382123281154726,-99.18109126394484,18
27,19.381123,-99.18667,18
28,19.367103332434564,-99.17058136315518,20
29,19.36952,-99.179421,8
30,19.398946,-99.183254,24
31,19.396339843986805,-99.1835709661791,18
32,19.377966,-99.170272,1
33,19.363698614576656,-99.17118497195588,20
34,19.362037,-99.172683,20
35,19.375865,-99.168219,1
36,19.364916,-99.175985,8
37,19.376959,-99.161099,1
38,19.375865,-99.185573,8
39,19.3854574,-99.1782718,18
40,19.37313576931919,-99.16706666355822,1
41,19.3823345657493,-99.17888358246273,18
42,19.374267,-99.180546,8
43,19.379593,-99.181351,18
44,19.373161,-99.178243,8
45,19.394861698080163,-99.17300574486944,23
46,19.378799,-99.176821,8
47,19.381714,-99.176664,18
48,19.387624,-99.180978,18
49,19.35857050753971,-99.15610156956063,11
50,19.363060918104924,-99.15833439679318,20
51,19.370213835587535,-99.17385498530166,8
52,19.361245,-99.16239,20
53,19.380087,-99.16427,1
55,19.3650233,-99.1554899,11
56,19.369823,-99.172164,8
57,19.384447,-99.172039,18
58,19.370615,-99.181606,8
59,19.393711808925048,-99.17581468826029,23
60,19.380691,-99.175036,18
61,19.373307,-99.172471,8
62,19.393699,-99.175664,23
63,19.385632,-99.180848,18
64,19.397693,-99.172981,23
65,19.393643,-99.178156,23
66,19.39270929935713,-99.18373167525715,18
67,19.38817793281278,-99.16966706519814,23
68,19.38885,-99.17772,18
69,19.386989,-99.173438,18
70,19.387483,-99.165409,1
71,19.4152434,-99.1667561,12
72,19.409859,-99.179565,24
73,19.411813726946605,-99.17595729242748,24
74,19.384079,-99.160915,1
75,19.389358,-99.182606,18
76,19.391444264426035,-99.17368702595921,23
77,19.382889,-99.158352,1
78,19.393228574754442,-99.16839435702059,23
79,19.410468,-99.172802,12
80,19.420603,-99.168239,5
81,19.4087182,-99.1699442,12
82,19.412967269545486,-99.16692517703268,12
83,19.417102,-99.165607,12
84,19.411361,-99.171271,12
85,19.40655,-99.172275,12
86,19.407927,-99.168734,12
87,19.407548521979454,-99.17434785516434,12
88,19.422148,-99.160645,4
89,19.41689,-99.17562,5
90,19.411825,-99.178456,24
91,19.42235098990008,-99.16417356581859,0
92,19.4148233,-99.1783527,24
93,19.419178,-99.169949,5
94,19.418879,-99.176854,5
95,19.414099314684794,-99.17715847497675,24
96,19.393914210245562,-99.1716746986458,23
97,19.4113523,-99.1698939,12
98,19.424197,-99.156127,4
99,19.428485,-99.1338,14
100,19.426755,-99.135014,14
101,19.428214,-99.139494,14
102,19.429189,-99.132759,14
103,19.429947,-99.14591,14
104,19.427305,-99.149533,4
105,19.425502,-99.146337,14
106,19.434944,-99.150295,16
107,19.425126,-99.143391,14
108,19.436741,-99.134811,14
109,19.4374,-99.137571,14
110,19.432819,-99.151734,0
